Код,Наименование товаров,Заказ,Розничная,Корпоративная,от  5000 рублей,от 15000 рублей
00006088,"Кабель USB 2.0 - 8 pin Lightning, 0,25m, Hoco X21+ , белый, для iPhone/iPad/iPod круглый, 2.1A, силикон (шт.)",,200.00 руб.,144.89 руб.,104.64 руб.,100.62 руб.
00005330,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco U42, угловой, для iPhone/iPad/iPod, 2.4A силикон белый (шт.)",,250.00 руб.,197.73 руб.,142.81 руб.,137.32 руб.
00006016,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X1 Rapid series, для iPhone/iPad/iPod круглый, 2.1A, силикон, цвет: белый (шт.)",,200.00 руб.,185.44 руб.,128.78 руб.,123.63 руб.
00005521,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X13 Easy, для iPhone/iPad/iPod круглый, 2.4A, силикон, черный (шт.)",,150.00 руб.,117.09 руб.,84.57 руб.,81.32 руб.
00006056,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X13 Easy, для iPhone/iPad/iPod круглый, 2.4A, силикон, белый (шт.)",,150.00 руб.,117.09 руб.,84.57 руб.,81.32 руб.
00006057,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X2, золотой, для iPhone/iPad/iPod 2.1A, круглый, ткань, в переплёте, (шт.)",,200.00 руб.,164.94 руб.,119.12 руб.,114.54 руб.
00006090,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X2, серый, для iPhone/iPad/iPod круглый, 2.1A, ткань, в переплёте (шт.)",,250.00 руб.,201.60 руб.,145.60 руб.,140.00 руб.
00005950,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X20, белый, для iPhone/iPad/iPod круглый, 2.1A, силикон (шт.)",,200.00 руб.,184.67 руб.,128.24 руб.,123.11 руб.
00006173,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X24, для iPhone/iPad/iPod, силикон, черный (шт.)",,350.00 руб.,307.80 руб.,222.30 руб.,213.75 руб.
00006260,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X25 Soarer, белый, для iPhone/iPad/iPod круглый, 2.1A, силикон (шт.)",,250.00 руб.,229.14 руб.,165.49 руб.,159.13 руб.
00007141,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X25 Soarer, черный, для iPhone/iPad/iPod круглый, 2.0A, силикон (шт.)",,250.00 руб.,229.14 руб.,159.13 руб.,152.76 руб.
00001494,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X26, 2.0A ткань черный красный для iPhone/iPad/iPod (шт.)",,350.00 руб.,295.04 руб.,204.89 руб.,196.70 руб.
00006175,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X27, 2.4A силикон белый (шт.)",,250.00 руб.,206.18 руб.,148.91 руб.,143.18 руб.
00006176,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X29, для iPhone/iPad/iPod, 2.0A силикон белый (шт.)",,400.00 руб.,356.40 руб.,257.40 руб.,247.50 руб.
00007529,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X29, для iPhone/iPad/iPod, 2.0A силикон черный (шт.)",,400.00 руб.,356.40 руб.,247.50 руб.,237.60 руб.
00006178,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X32, для iPhone/iPad/iPod, черный (шт.)",,400.00 руб.,343.44 руб.,248.04 руб.,238.50 руб.
00004630,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X37, 2.4A силикон белый (шт.)",,100.00 руб.,88.01 руб.,63.56 руб.,61.12 руб.
00007027,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X37, 2.4A силикон черный (шт.)",,150.00 руб.,105.77 руб.,76.39 руб.,73.45 руб.
00007058,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X38, 2.4A ткань черный (шт.)",,200.00 руб.,153.15 руб.,110.61 руб.,106.35 руб.
00007224,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X45, 2.4A силикон черный (шт.)",,400.00 руб.,361.50 руб.,251.04 руб.,241.00 руб.
00007366,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X50, для iPhone/iPad/iPod, серый (шт.)",,200.00 руб.,145.82 руб.,105.32 руб.,101.27 руб.
00007797,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X50, для iPhone/iPad/iPod, черный (шт.)",,200.00 руб.,153.20 руб.,110.65 руб.,106.39 руб.
00007458,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X60, силиконовый магнитный в коробке для iPhone/iPad/iPod, черный (шт.)",,600.00 руб.,534.60 руб.,371.25 руб.,356.40 руб.
00007459,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X63, магнитный в коробке для iPhone/iPad/iPod, черный (шт.)",,400.00 руб.,346.68 руб.,240.75 руб.,231.12 руб.
00007848,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X83, для iPhone/iPad/iPod, белый (шт.)",,100.00 руб.,78.72 руб.,56.85 руб.,54.67 руб.
00008275,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X85 Strength, круглый, 2.4A, силикон, белый (шт.)",,200.00 руб.,148.40 руб.,107.18 руб.,103.05 руб.
00008276,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X85 Strength, круглый, 2.4A, силикон, чёрный (шт.)",,200.00 руб.,161.10 руб.,116.35 руб.,111.88 руб.
00008277,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X88 Gratified, круглый, 2.4A, силикон, белый (шт.)",,100.00 руб.,70.87 руб.,51.19 руб.,49.22 руб.
00008278,"Кабель USB 2.0 - 8 pin Lightning, 1 m, Hoco X88 Gratified, круглый, 2.4A, силикон, чёрный (шт.)",,100.00 руб.,63.40 руб.,45.79 руб.,44.03 руб.
00006087,"Кабель USB 2.0 - 8 pin Lightning, 2 m Hoco X1, Rapid series, белый, для iPhone/iPad/iPod круглый, 2.1A, силикон (шт.)",,150.00 руб.,125.68 руб.,90.77 руб.,87.28 руб.
00005110,"Кабель USB 2.0 - 8 pin Lightning, 2 m Hoco X20, круглый, 2.1A, силикон, белый (шт.)",,200.00 руб.,158.94 руб.,114.79 руб.,110.38 руб.
00003794,"Кабель USB 2.0 - 8 pin Lightning, 2 m Hoco X20, круглый, 2.1A, силикон, чёрный (шт.)",,250.00 руб.,215.82 руб.,155.87 руб.,149.88 руб.
00007140,"Кабель USB 2.0 - 8 pin Lightning, 3 m, Hoco X1, белый, для iPhone/iPad/iPod круглый, 2.4A, силикон (шт.)",,300.00 руб.,145.98 руб.,105.43 руб.,101.38 руб.
00004655,"Кабель USB 2.0 - 8 pin Lightning, 3 m, Hoco X20, черный, для iPhone/iPad/iPod круглый, 2.1A, силикон (шт.)",,200.00 руб.,157.59 руб.,113.82 руб.,109.44 руб.
00005331,"Кабель соединительный Mirex USB 2.0 AM- 8pin (M), чёрный, 1м. (шт.)",,80.00 руб.,63.51 руб.,44.10 руб.,42.34 руб.
,Кабель USB 2.0 A--> micro B,,,,,
00007862,"Кабель USB 2.0 A--> micro B 5P 0,25 m Hoco X38 Cool, круглый, 2.4A, нейлон, цвет: черный (шт.)",,150.00 руб.,99.54 руб.,71.89 руб.,69.13 руб.
00002101,"Кабель USB 2.0 A--> micro B 5P 0,5 m Perfeo (U4004) (шт.)",,120.00 руб.,105.30 руб.,73.13 руб.,70.20 руб.
00004295,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco S6 Sentinel, круглый, 2.4A, силикон, дисплей, красный (шт.)",,350.00 руб.,320.82 руб.,231.70 руб.,222.79 руб.
00007452,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco U57, круглый, 2.4A, силикон, серый (шт.)",,500.00 руб.,442.10 руб.,307.02 руб.,294.74 руб.
00007453,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco U75, магнитный, 3.0A, силикон, боковой, белый (шт.)",,800.00 руб.,709.56 руб.,492.75 руб.,473.04 руб.
00007622,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco U89 LED, круглый, 2.4A, силикон, черный (шт.)",,550.00 руб.,476.28 руб.,330.75 руб.,317.52 руб.
00007363,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco U92, круглый, 2.1A, силикон, боковой, черный (шт.)",,350.00 руб.,326.87 руб.,226.99 руб.,217.91 руб.
00006168,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco UPM-10, круглый, 2.1A, силикон, боковой, цвет: белый (шт.)",,200.00 руб.,177.45 руб.,128.16 руб.,123.23 руб.
00007640,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco UPM-10, круглый, 2.1A, силикон, боковой, цвет: красный (шт.)",,200.00 руб.,194.15 руб.,134.83 руб.,129.44 руб.
00006061,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X1 Rapid series, круглый, 2.1A, силикон, белый (шт.)",,100.00 руб.,88.26 руб.,63.74 руб.,61.29 руб.
00006062,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X13 Easy, круглый, 2.4A, силикон, белый (шт.)",,100.00 руб.,73.46 руб.,53.06 руб.,51.02 руб.
00006277,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X13 Easy, круглый, 2.4A, силикон,  чёрный (шт.)",,100.00 руб.,70.85 руб.,51.17 руб.,49.20 руб.
00006064,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X2, круглый, 2.1A, ткань, в переплёте, серый (шт.)",,150.00 руб.,116.95 руб.,84.47 руб.,81.22 руб.
00004235,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X20, круглый, 2.1A, силикон, белый (шт.)",,200.00 руб.,146.97 руб.,106.15 руб.,102.07 руб.
00006163,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X20, круглый, 2.1A, силикон, черный (шт.)",,100.00 руб.,88.87 руб.,64.19 руб.,61.72 руб.
00001107,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X24 Pisces, круглый, 2.1A, силикон, белый (шт.)",,350.00 руб.,305.54 руб.,212.18 руб.,203.69 руб.
00000740,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X25 Soarer, круглый, 2.1A, силикон, черный (шт.)",,200.00 руб.,178.20 руб.,123.75 руб.,118.80 руб.
00006068,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X26 Xpress, круглый, 2.1A, ткань, в переплёте, чёрный, с красной вставкой (шт.)",,200.00 руб.,169.10 руб.,122.13 руб.,117.43 руб.
00004741,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X27 Excellent, круглый, 2.4A, силикон, белый (шт.)",,200.00 руб.,137.99 руб.,99.66 руб.,95.83 руб.
00000557,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X27 Excellent, круглый, 2.4A, силикон, чёрный (шт.)",,250.00 руб.,191.81 руб.,138.53 руб.,133.20 руб.
00004935,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X29 Superior, круглый, 2.0A, силикон, черный (шт.)",,350.00 руб.,305.54 руб.,220.67 руб.,212.18 руб.
00007059,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X30, 2.0A, силикон, синий (шт.)",,350.00 руб.,285.12 руб.,198.00 руб.,190.08 руб.
00006580,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X33, 4.0A, силикон, черный (шт.)",,300.00 руб.,258.05 руб.,179.20 руб.,172.04 руб.
00006578,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X37, 2.4A, силикон, белый (шт.)",,100.00 руб.,66.86 руб.,48.29 руб.,46.43 руб.
00001212,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X38, круглый, 2.1A, ткань, в переплёте, черный (шт.)",,150.00 руб.,129.78 руб.,93.73 руб.,90.13 руб.
00007799,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X39 Titan, круглый, 2.4A, силикон, цвет: красный (шт.)",,200.00 руб.,185.66 руб.,134.09 руб.,128.93 руб.
00007225,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X45, 2.4A, силикон, черный (шт.)",,350.00 руб.,308.34 руб.,214.13 руб.,205.56 руб.
00007641,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X49, 2.4A, силикон, черный (шт.)",,400.00 руб.,330.83 руб.,229.74 руб.,220.55 руб.
00007532,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X59, 2.4A, нейлон, черный (шт.)",,150.00 руб.,107.99 руб.,77.99 руб.,74.99 руб.
00006059,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X6, силикон, белый (шт.)",,250.00 руб.,233.68 руб.,162.28 руб.,155.79 руб.
00006169,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X6, силикон, черный (шт.)",,300.00 руб.,255.08 руб.,177.14 руб.,170.06 руб.
00008280,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X65 Prime, 2.4A, силикон, синий (шт.)",,150.00 руб.,103.40 руб.,74.68 руб.,71.80 руб.
00007533,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X67, 2.4A, силикон, белый (шт.)",,350.00 руб.,296.36 руб.,205.80 руб.,197.57 руб.
00007534,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X67, 2.4A, силикон, черный (шт.)",,350.00 руб.,296.36 руб.,205.80 руб.,197.57 руб.
00006579,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X73 (шт.)",,100.00 руб.,91.80 руб.,66.30 руб.,63.75 руб.
00007849,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X83, 2.4A, силикон, черный (шт.)",,100.00 руб.,55.88 руб.,40.36 руб.,38.80 руб.
00007850,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X88 Gratified, круглый, 2.4A, силикон, белый (шт.)",,100.00 руб.,49.49 руб.,35.74 руб.,34.37 руб.
00007851,"Кабель USB 2.0 A--> micro B 5P 1,0 m Hoco X88 Gratified, круглый, 2.4A, силикон, черный (шт.)",,100.00 руб.,54.44 руб.,39.32 руб.,37.80 руб.
00004003,"Кабель USB 2.0 A--> micro B 5P 1,0 m MAGNETIC M3 магнитный в коробке (шт.)",,100.00 руб.,79.20 руб.,59.40 руб.,57.20 руб.
00004742,"Кабель USB 2.0 A--> micro B 5P 1,0 m MAGNETIC магнитный microUSB + Type C (шт.)",,350.00 руб.,280.80 руб.,210.60 руб.,202.80 руб.
00003629,"Кабель USB 2.0 A--> micro B 5P 1,0 m Perfeo (U4001) (шт.)",,135.00 руб.,121.50 руб.,84.38 руб.,81.00 руб.
00000504,"Кабель USB 2.0 A--> micro B 5P 1,8 m черный, Perfeo (U4002) (шт.)",,125.00 руб.,109.48 руб.,79.07 руб.,76.03 руб.
00006664,"Кабель USB 2.0 A--> micro B 5P 2,0 m Hoco X20 круглый, 2.1A, силикон, белый (шт.)",,150.00 руб.,126.27 руб.,91.20 руб.,87.69 руб.
00006665,"Кабель USB 2.0 A--> micro B 5P 2,0 m Hoco X20 круглый, 2.1A, силикон, чёрный (шт.)",,150.00 руб.,127.93 руб.,92.40 руб.,88.84 руб.
00006065,"Кабель USB 2.0 A--> micro B 5P 3,0 m Hoco X20 круглый, 2.1A, силикон, белый (шт.)",,200.00 руб.,141.86 руб.,102.46 руб.,98.52 руб.
00006066,"Кабель USB 2.0 A--> micro B 5P 3,0 m Hoco X20 круглый, 2.1A, силикон, чёрный (шт.)",,200.00 руб.,160.44 руб.,115.87 руб.,111.42 руб.
00000648,"Кабель USB 2.0 A--> micro B 5P 3,0 m Perfeo (U4003) (шт.)",,220.00 руб.,162.00 руб.,135.00 руб.,129.60 руб.
00003567,"Кабель USB 2.0 A--> micro B 5P 5,0 m Perfeo (U4005) (шт.)",,250.00 руб.,221.85 руб.,191.25 руб.,183.60 руб.
00001864,"Кабель USB 3.0 A--> micro B 9P 1,8 m PERFEO, двойной экран (шт.)",,275.00 руб.,247.29 руб.,178.60 руб.,171.73 руб.
00000826,"Кабель USB 3.1 A--> micro B 9P 0,2 m Smartbuy, плоский, черный (SBCAB-762K) (шт.)",,250.00 руб.,225.51 руб.,162.87 руб.,156.60 руб.
,Кабель USB 2.0 A->miniB (5pin),,,,,
00007830,"Кабель USB 2.0 A->miniB (5pin) 0,3m, Premier (5-940) (шт.)",,50.00 руб.,24.30 руб.,17.55 руб.,16.88 руб.
00002100,"Кабель USB 2.0 A->miniB (5pin) 0,5m, Perfeo (U4304) (шт.)",,100.00 руб.,77.28 руб.,55.81 руб.,53.67 руб.
00001337,"Кабель USB 2.0 A->miniB (5pin) 1,0m, Perfeo (U4301) (шт.)",,100.00 руб.,92.74 руб.,66.98 руб.,64.40 руб.
00000274,"Кабель USB 2.0 A->miniB (5pin) 1,0m, Premier (5-940) (шт.)",,70.00 руб.,62.10 руб.,44.85 руб.,43.13 руб.
00001783,"Кабель USB 2.0 A->miniB (5pin) 1,0m, Telecom, черный (шт.)",,160.00 руб.,142.01 руб.,98.62 руб.,94.67 руб.
00007756,"Кабель USB 2.0 A->miniB (5pin) 1,0m, VS (U310) (шт.)",,70.00 руб.,61.83 руб.,44.66 руб.,42.94 руб.
00000204,"Кабель USB 2.0 A->miniB (5pin) 1,5m, Premier (5-940) (шт.)",,120.00 руб.,99.36 руб.,71.76 руб.,69.00 руб.
00005102,"Кабель USB 2.0 A->miniB (5pin) 1,8m Smartbuy (K-640-200) (шт.)",,120.00 руб.,100.66 руб.,72.70 руб.,69.90 руб.
00003592,"Кабель USB 2.0 A->miniB (5pin) 1,8m черный, Perfeo (U4302) (шт.)",,125.00 руб.,109.48 руб.,79.07 руб.,76.03 руб.
00000312,"Кабель USB 2.0 A->miniB (5pin) 1,8m, Telecom, черный (шт.)",,200.00 руб.,177.41 руб.,123.20 руб.,118.28 руб.
00000903,"Кабель USB 2.0 A->miniB (5pin) 1,8m, VS (U318) (шт.)",,100.00 руб.,83.72 руб.,60.47 руб.,58.14 руб.
00003591,"Кабель USB 2.0 A->miniB (5pin) 3,0m черный, Perfeo (U4303) (шт.)",,165.00 руб.,148.13 руб.,106.98 руб.,102.87 руб.
00005084,"Кабель USB 2.0 A->miniB (5pin) 3,0m, VS (U330) (шт.)",,120.00 руб.,98.91 руб.,71.44 руб.,68.69 руб.
00001354,"Кабель USB 2.0 A->miniB (5pin) 5,0m черный, Perfeo (шт.)",,300.00 руб.,275.40 руб.,191.25 руб.,183.60 руб.
,Кабель USB 2.0 AM->AM,,,,,
00004103,"5-900  1.0 Шнур USB-AA (A ""шт"" - A ""шт"") 1.0м (шт.)",,80.00 руб.,71.28 руб.,49.50 руб.,47.52 руб.
00003900,"5-900  1.5 Шнур USB-AA (A ""шт"" - A ""шт"") 1.5м (шт.)",,150.00 руб.,129.60 руб.,90.00 руб.,86.40 руб.
00007412,Кабель 5bites UC5009-010C USB2.0 / AM-AM / 1M (шт.),,135.00 руб.,119.13 руб.,82.73 руб.,79.42 руб.
00007319,"Кабель PERFEO USB2.0 A вилка - А вилка, длина 1,8 м. (U4401) (шт.)",,165.00 руб.,145.80 руб.,101.25 руб.,97.20 руб.
00007116,"Кабель USB2.0 A вилка - А вилка, длина 1,8 м. VS (U418) (шт.)",,150.00 руб.,132.30 руб.,91.88 руб.,88.20 руб.
00000233,"Кабель USB2.0 A вилка - А вилка, длина 3,0 м. VS (U430) (шт.)",,125.00 руб.,109.91 руб.,79.38 руб.,76.33 руб.
00002562,"Кабель USB3.0 A вилка - A вилка, длина 1,8 м. PERFEO (U4601) (шт.)",,260.00 руб.,243.00 руб.,202.50 руб.,194.40 руб.
00007969,Кабель соединительный USB3.0 Am-Am 0.3m Telecom (TUS715-0.3M) (шт.),,250.00 руб.,193.47 руб.,167.68 руб.,161.23 руб.
,Кабель USB 2.0 AM->BM,,,,,
00000844,Кабель USB 2.0 AM->BM 1.0m Perfeo (U4101) (шт.),,100.00 руб.,92.74 руб.,66.98 руб.,64.40 руб.
00005113,"Кабель USB 2.0 AM->BM 1.0m, VS (U110) (шт.)",,80.00 руб.,61.83 руб.,44.66 руб.,42.94 руб.
00007812,Кабель USB 2.0 AM->BM 1.5m ENERGY POWER (шт.),,70.00 руб.,59.40 руб.,44.55 руб.,42.90 руб.
00001522,"Кабель USB 2.0 AM->BM 1.5m TELECOM, прозрачная изоляция (шт.)",,120.00 руб.,98.99 руб.,68.74 руб.,65.99 руб.
00005496,Кабель USB 2.0 AM->BM 1.8m TV-COM <USB100G-1.8M> (шт.),,165.00 руб.,145.80 руб.,101.25 руб.,97.20 руб.
00005112,"Кабель USB 2.0 AM->BM 1.8m черный, VS (U118) (шт.)",,100.00 руб.,83.72 руб.,60.47 руб.,58.14 руб.
00001702,"Кабель USB 2.0 AM->BM 1.8m, зол.разъемы, ферр.кольца, проф. (UC5010-018A) (шт.)",,200.00 руб.,185.53 руб.,159.94 руб.,153.54 руб.
00007507,Кабель USB 2.0 AM->BM 3.0m Perfeo (U4103) (шт.),,160.00 руб.,141.68 руб.,102.33 руб.,98.39 руб.
00002526,"Кабель USB 2.0 AM->BM 3.0m, Smartbuy (K545) (шт.)",,220.00 руб.,194.40 руб.,135.00 руб.,129.60 руб.
00005325,"Кабель USB 2.0 AM->BM 3.0m, Telecom <TC6900-3M> (шт.)",,240.00 руб.,213.00 руб.,147.92 руб.,142.00 руб.
00005225,"Кабель USB 2.0 AM->BM 3.0m, VS (U130) (шт.)",,120.00 руб.,98.91 руб.,71.44 руб.,68.69 руб.
00004153,"Кабель USB 2.0 AM->BM 3.0m, зол.разъемы, ферр.кольца, проф. (UC5010-030A) (шт.)",,230.00 руб.,211.77 руб.,176.48 руб.,169.42 руб.
00003340,"Кабель USB 2.0 AM->BM 5.0m TELECOM, белый (шт.)",,280.00 руб.,257.97 руб.,214.98 руб.,206.38 руб.
00008357,"Кабель USB 2.0 AM->BM 5.0m, Perfeo (U4104) (шт.)",,225.00 руб.,199.64 руб.,144.19 руб.,138.64 руб.
00007413,"Кабель USB 2.0 AM->BM 5.0m, зол.разъемы, ферр.кольца, проф. (UC5010-050A) (шт.)",,335.00 руб.,311.04 руб.,259.20 руб.,248.84 руб.
,Кабель USB A--> TYPE C (USB 3.1),,,,,
00006464,"5-933 LONG  1.0 Шнур USB A ""шт"" - Type-C LONG ""шт"" 1.0м (шт.)",,230.00 руб.,205.74 руб.,142.88 руб.,137.16 руб.
00007519,Аудио кабель AUX на Type-C (1.0м) (шт.),,100.00 руб.,86.40 руб.,60.00 руб.,57.60 руб.
00005887,"Дата-кабель Smartbuy USB 2.0 Type-C to Type-C, fast charging, черный, 1м (iK-3112fc black) (шт.)",,150.00 руб.,136.28 руб.,113.57 руб.,109.02 руб.
00008438,"Кабель AUX, Jack 3,5mm(m) - Type-C(m) HOCO UPA17 1.0м TPE черный (шт.)",,375.00 руб.,334.25 руб.,241.40 руб.,232.12 руб.
00007460,"Кабель AUX, Jack 3,5mm(m) - Type-C(m) HOCO UPA19, Digital, 1.0м, круглый, силикон, нейлон, чёрный (шт.)",,400.00 руб.,322.73 руб.,233.08 руб.,224.12 руб.
00008490,"Кабель AUX, Jack 3,5mm(m) - Type-C(m) HOCO UPA22 1.0м силикон белый (шт.)",,350.00 руб.,301.99 руб.,218.11 руб.,209.72 руб.
00008171,"Кабель AUX, Jack 3,5mm(m) - Type-C(m) HOCO UPA22 1.0м силикон черный (шт.)",,350.00 руб.,301.99 руб.,218.11 руб.,209.72 руб.
00008492,"Кабель AUX, Jack 3,5mm(m) - Type-C(m) HOCO UPA23, 1.0м, круглый, нейлон, серый (шт.)",,400.00 руб.,346.11 руб.,249.97 руб.,240.35 руб.
00008491,"Кабель AUX, Jack 3,5mm(m) - Type-C(m) HOCO UPA25 TDY, 1.0м, круглый, нейлон, черный (шт.)",,350.00 руб.,300.93 руб.,217.34 руб.,208.98 руб.
00006210,"Кабель PERFEO USB3.0 Type C вилка - Micro B 9 pin вилка, длина 1 м. (U4604) (шт.)",,275.00 руб.,257.58 руб.,223.24 руб.,214.65 руб.
00004821,"Кабель Smartbuy USB3.1 Micro B (Male) - Type C (Male), 20 см, плоский, черный (SBCAB-761K) (шт.)",,200.00 руб.,184.98 руб.,160.32 руб.,154.15 руб.
00008413,Кабель Type-C - 2 RCA KIN KY-219 резиновый в коробке (шт.),,300.00 руб.,252.00 руб.,189.00 руб.,182.00 руб.
00007520,"Кабель Type-C - Type-C 1.0м HOCO X45 LED, 3A (шт.)",,350.00 руб.,297.98 руб.,215.21 руб.,206.93 руб.
00008105,"Кабель Type-C - Type-C 1.0м HOCO X67 Nano, круглый, 2.4A, силикон, 60W, черный (шт.)",,300.00 руб.,235.25 руб.,169.90 руб.,163.37 руб.
00001782,"Кабель Type-C - Type-C 1.0м HOCO X69 Jaeger, круглый, 3,0А, нейлон, PD60W, для ноутбука и смартфона, чёрный/белый (шт.)",,200.00 руб.,156.82 руб.,113.26 руб.,108.90 руб.
00008163,"Кабель Type-C - Type-C 1.0м HOCO X71 Especial, 1.0м, круглый, нейлон, PD60W, чёрный (шт.)",,200.00 руб.,158.40 руб.,114.40 руб.,110.00 руб.
00001792,"Кабель Type-C - Type-C 1.0м HOCO X73 Sunway, 3,0А, 60Вт, PD, белый (шт.)",,200.00 руб.,142.35 руб.,102.81 руб.,98.85 руб.
00008106,"Кабель Type-C - Type-C 1.0м HOCO X73 Sunway, 3,0А, 60Вт, QC3.0, PD3.0, чёрный (шт.)",,200.00 руб.,142.35 руб.,102.81 руб.,98.85 руб.
00008529,"Кабель Type-C - Type-C 1.0м HOCO X83 Victory, круглый, 3.0A, силикон, PD60W, белый (шт.)",,200.00 руб.,137.45 руб.,99.27 руб.,95.45 руб.
00007852,"Кабель Type-C - Type-C 1.0м HOCO X83 Victory, круглый, 3.0A, силикон, PD60W, чёрный (шт.)",,200.00 руб.,137.45 руб.,99.27 руб.,95.45 руб.
00008229,"Кабель Type-C - Type-C 1.0м HOCO X84 Solid, круглый, 3.0A, силикон, PD60W, белый (шт.)",,150.00 руб.,121.74 руб.,87.92 руб.,84.54 руб.
00008108,"Кабель Type-C - Type-C 1.0м HOCO X85 Strength, круглый, 3.0A, силикон, PD60W, чёрный (шт.)",,150.00 руб.,133.10 руб.,96.13 руб.,92.43 руб.
00008230,"Кабель Type-C - Type-C 1.0м HOCO X88, круглый, 3.0A, силикон, PD60W, черный (шт.)",,100.00 руб.,82.46 руб.,59.56 руб.,57.27 руб.
00008104,"Кабель Type-C - Type-C 1.2м HOCO U100 Orbit, круглый, 3,0А, нейлон, алюминий, PD20W, индикатор, чёрный (шт.)",,300.00 руб.,243.87 руб.,176.13 руб.,169.35 руб.
00008530,"Кабель Type-C - Type-C 1.2м HOCO X93 Force, 1.0м, 5.0A, PD240Вт, пластик, белый (шт.)",,350.00 руб.,313.55 руб.,226.45 руб.,217.74 руб.
00008532,"Кабель Type-C - Type-C 1.2м HOCO X96 Hyper, 1.0м, PD100Вт, 3.0А, белый (шт.)",,250.00 руб.,225.80 руб.,163.08 руб.,156.80 руб.
00008533,"Кабель Type-C - Type-C 1.2м HOCO X96 Hyper, 1.0м, PD100Вт, 3.0А, черный (шт.)",,250.00 руб.,225.80 руб.,163.08 руб.,156.80 руб.
00007522,"Кабель Type-C - Type-C 1.5м HOCO X62, 5A, PD (шт.)",,575.00 руб.,514.71 руб.,357.44 руб.,343.14 руб.
00007521,"Кабель Type-C - Type-C 2.0м HOCO X50, 5A (шт.)",,600.00 руб.,518.12 руб.,359.80 руб.,345.41 руб.
